scorer,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000
bodyparts,leftear,leftear,leftear,rightear,rightear,rightear,paw,paw,paw,nose,nose,nose
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,197.4687042236328,307.3924255371094,0.9999485015869141,384.5608825683594,361.6717529296875,0.9989237189292908,201.0243682861328,315.6468505859375,0.014281343668699265,241.7065887451172,515.1101684570312,0.9999561309814453
1,195.76323206897138,306.8403053352404,0.9997321963310242,384.0128589649594,361.4686192310385,0.9991703033447266,191.02664223159158,310.672076973928,0.012775378301739693,233.39381058276874,514.9304647440129,0.9999207258224487
2,196.97471607875906,309.4968678987859,0.9994737505912781,387.97283502755033,367.13596293960836,0.9993844032287598,273.75391756984146,529.7774267126644,0.010466177016496658,240.2059897795298,521.201592396818,0.999249279499054
3,198.0435215639616,314.06420448000836,0.9999043941497803,392.0786064416161,370.5820390792713,0.9977450966835022,311.03431297327825,407.96215370030416,0.01328484620898962,243.64067280203005,524.9213373374886,0.9998237490653992
4,198.01471648902293,320.16892704566897,0.9998186230659485,395.34707162582976,378.6430643636389,0.9992057681083679,332.49554046347356,333.4714534340698,0.010982772335410118,246.4153836437167,533.1045055104561,0.9994723200798035
5,194.0291820067905,330.1324914084369,0.9999575614929199,394.8703650882521,390.0647542656912,0.9984556436538696,363.7174300113519,424.7876775708551,0.015344953164458275,248.68753435424483,543.8500619898393,0.9998286962509155
6,193.36486626276871,345.45834678439803,0.9998486042022705,393.82619317166245,399.81993071848717,0.9999306201934814,287.17057525329597,471.799842714,0.010549583472311497,249.03757975272353,555.0667922952372,0.999964714050293
7,185.153070858917,359.76800585937707,0.9998800754547119,390.11208103714756,408.7124173921077,0.9994800686836243,349.44079062924675,439.11346475357135,0.006815273314714432,246.99088561977885,562.635304422489,0.9999431371688843
8,181.00114644449127,369.5940133038434,0.999919056892395,383.61988571629803,417.2240084135887,0.9995895028114319,240.2278083191607,339.0570988145647,0.008565915748476982,243.91243798415184,573.2096011186964,0.9998983144760132
9,176.5607379612505,379.74605978839344,0.9998711347579956,379.98880353483264,433.58177577420645,0.9992460012435913,251.88964014285725,552.462691440185,0.016973793506622314,240.83584416796614,587.2251288648234,0.9999330043792725
10,173.57545661900127,394.7459159980833,0.999862790107727,376.5703005843667,451.0682564632295,0.9997430443763733,244.46690459252252,520.7227193906415,0.008603955619037151,236.2488361214671,602.644495956227,0.9999715089797974
11,173.88661419765313,409.61311307692046,0.9999610185623169,376.46566104931884,464.21887716722784,0.999675989151001,205.50953730778127,556.2692211364788,0.016031546518206596,231.05168643187625,614.3589990992962,0.9998883008956909
12,174.60415646317765,416.576185002871,0.9999158382415771,379.77176625020223,469.0871672503044,0.9999290704727173,242.1647635323694,536.6479789896675,0.007947364822030067,229.22004439099211,620.6956668837179,0.9998406171798706
13,184.05281545111472,415.5037500145526,0.999891996383667,387.2624913624445,476.12482436879833,0.99843829870224,288.3725294599117,477.96539251588905,0.011501234024763107,230.90515476992047,625.7719704336469,0.9999761581420898
14,184.78749143096664,411.06176690889447,0.9999756813049316,395.4908143698669,479.91761457678626,0.9996955394744873,251.1193623276004,555.2066954000469,0.009393197484314442,232.19960841245867,628.4357873802725,0.9999071359634399
15,192.68240220261043,405.18046025464986,0.9994115829467773,404.195251499683,477.52854170283234,0.9984275102615356,233.67968906266123,479.51926014567823,0.009792218916118145,231.5193871421289,626.1882735801195,0.9997941851615906
16,204.1762090921151,395.79909814654246,0.9998956918716431,415.93663787286454,474.54805472185035,0.9996893405914307,338.0083848623797,441.52127173412316,0.010891801677644253,232.13576170192945,619.8594447667948,0.9998730421066284
17,212.13256899844652,386.17086699961123,0.999957799911499,426.8419642367351,473.18965896165764,0.999218225479126,306.45957810968065,522.7597967642625,0.009645109064877033,236.61580116265046,617.3355382695569,0.999576985836029
18,222.90088531515994,383.1588365979449,0.9999105930328369,438.8629627675629,475.9968067613381,0.9985889792442322,305.5678205325023,554.294639444109,0.013213074766099453,243.5128004772316,620.6291084985504,0.9999514818191528
19,232.94795362225264,386.1035745742561,0.9999676942825317,450.15016084613535,477.0046455652261,0.9999121427536011,365.779939007148,520.0093746818176,0.009545035660266876,250.63285240820576,621.0974912308194,0.9998655319213867
20,242.1930930172185,389.22260289400214,0.9999253749847412,458.9052389363345,479.23076673637297,0.9980766773223877,375.2037330674335,449.36126549400274,0.00833686999976635,257.45485891950767,621.6508511233176,0.9999314546585083
21,248.87780435370126,389.07995756374123,0.9999470710754395,467.01827769314764,476.85197188160527,0.9993665814399719,388.3188446439883,519.2823288300559,0.009684373624622822,265.7630525885209,617.4487783748502,0.9998937845230103
22,261.8065844548622,387.1284376119628,0.9999135732650757,477.57667384260526,472.692339009692,0.9995715022087097,349.5981518147233,409.1467126823569,0.011524030938744545,277.17265096827606,616.8391085800187,0.9997329115867615
23,275.4083717816975,383.1409388004759,0.9987209439277649,490.6292488792622,471.07337467683294,0.999836802482605,310.7044708514966,458.43513718751547,0.10248427093029022,288.8009600105558,615.4398960936301,0.9999066591262817
24,294.6706775324182,377.2883815460761,0.9999128580093384,509.04583852812027,466.35637795524843,0.9998844861984253,332.19420484676044,603.7637741784956,0.7605509757995605,301.15371557317155,610.8418667095843,0.9999319314956665
25,314.23505741100604,368.7414964829942,0.9999266862869263,533.2370357737229,455.6965086139001,0.9999474287033081,256.528734195307,625.5102348271762,0.9913783073425293,317.52276733575445,602.7272591135052,0.9998842477798462
26,332.1882975162698,358.49849777694806,0.999688982963562,557.1588785797219,449.42855794193997,0.9998613595962524,290.81780471732316,548.1930730971394,0.9833143949508667,336.6520139063603,594.6735715222078,0.9999676942825317
27,342.77041270120174,345.16613920100565,0.9993745684623718,577.3935982871617,441.966253731471,0.9997550845146179,252.69077571320238,623.9675391667109,0.9982618689537048,351.9567794050331,587.8977585928731,0.9999237060546875
28,357.3218251423413,335.05307908278905,0.9998602867126465,592.8493488603633,442.85046156381725,0.9999641180038452,271.47415009618726,580.9967501310953,0.9965279698371887,361.3099123712712,583.9456124682204,0.9999909400939941
29,362.97227027648785,336.5050989224852,0.999860405921936,599.3617396684681,451.5078850305201,0.9999792575836182,264.0089667535973,645.7562798440996,0.9995983242988586,367.4780259178989,593.4939620401462,0.9999333620071411
30,365.5350773024332,353.49726094484015,0.9998611211776733,596.1087188620788,472.063933711516,0.9997954964637756,277.3930737268639,614.0045260507565,0.998072624206543,371.49971156466285,607.272597180989,0.9998416900634766
31,363.76911406969674,381.53434269562035,0.9998626708984375,586.204177145814,496.19149460132195,0.9997153878211975,266.07604080146257,666.6327161176182,0.9413478970527649,371.93599687769216,625.2502645722037,0.9996384382247925
32,357.0635879365149,410.9832471101995,0.9996978044509888,570.6390566209519,516.2824691927577,0.9998230338096619,265.46105262919065,638.8537898377489,0.48391586542129517,365.45404275968883,640.4148174593931,0.9999734163284302
33,348.98518625649285,431.98969139358553,0.9994717240333557,553.5858949442046,526.4488555523756,0.9993152618408203,252.19764631066127,679.8679141423354,0.05873248726129532,356.25421406271767,650.6080169183082,0.9997584223747253
34,343.0383268800934,440.0112237405005,0.999728262424469,537.786181681465,532.1323216931373,0.9999605417251587,259.2601654159095,659.408148761432,0.0120078194886446,349.4217220317588,662.4940040993412,0.9991422891616821
35,337.32953326558857,446.27246116447407,0.9996153116226196,527.8813419121869,538.1212030867678,0.9996882677078247,292.21775498920107,528.9355205400627,0.31177160143852234,345.6455457627105,672.4034107208943,0.9998573064804077
36,333.9851627434587,455.14342672661024,0.9998334646224976,524.5824985086574,545.7727440901247,0.9999417066574097,269.1190877250545,698.0212197561367,0.9763786792755127,342.9349439352124,681.8364573020451,0.999948263168335
37,334.78980117805077,459.4623241991743,0.9998761415481567,529.0681760455803,551.7703987671209,0.9998619556427002,265.82193437032595,783.552819262265,0.9979994893074036,340.2453064354523,678.097432549739,0.9998419284820557
38,341.06453203414185,454.67309608202146,0.9999086856842041,541.0713781665345,550.4774510310193,0.9996912479400635,263.4681774566298,697.6114157950811,0.9992877840995789,340.26313605831183,674.2769556220044,0.9996503591537476
39,341.1966786837402,443.49209542515695,0.9998762607574463,554.483878146669,543.8657513549641,0.9998383522033691,244.56564862308903,762.3058716203941,0.9997196793556213,344.32546206096407,665.341736328517,0.9998892545700073
40,343.38362325397645,431.8100109202564,0.9998375177383423,567.2112402529698,532.8618988280377,0.9998598098754883,255.8491946534761,718.3495296274696,0.9987531900405884,348.3093611163074,662.5903361319329,0.9999797344207764
41,356.7708794080461,420.4623353111417,0.6776871085166931,581.8606614306723,523.9098732129918,0.999921441078186,246.9303478320591,772.6594375090389,0.9310699701309204,351.07906967010615,655.9060901187088,0.9999809265136719
42,371.18979937930914,406.16271086764664,0.9991815686225891,598.238817545183,507.41334654933195,0.999935507774353,252.90485356195796,738.5594146523913,0.874291181564331,356.64766493659255,633.1075625962218,0.9999650716781616
43,393.4514530608636,384.66448440769665,0.9997822642326355,615.2545438169029,490.50771533443896,0.9997590184211731,242.8660721671957,786.1356052704509,0.9872938990592957,369.1858329572183,615.6768942795518,0.9999350309371948
44,404.47603862050556,357.48368537959027,0.9998996257781982,632.3463125748186,478.00257180292573,0.9999045133590698,257.4548760899373,696.3416334065187,0.9828528761863708,384.4745669138092,602.108910193924,0.9999487400054932
45,417.047013056239,336.5169128825174,0.9997645020484924,646.046825491599,477.0564148449984,0.9999102354049683,258.2308692300046,714.5753995963145,0.9874617457389832,395.7099623325482,600.8172996006365,0.9998716115951538
46,430.2805502782166,329.52930760878115,0.99992835521698,659.2338847851595,483.13913687548035,0.9999139308929443,259.3751367782629,681.7675204803095,0.9912657141685486,400.3581010858098,600.3457115985063,0.9996826648712158
47,439.8693582301905,328.62024976875875,0.9999634027481079,670.2180552604989,486.96128278170113,0.9980887770652771,260.0130925714815,684.7158066522247,0.9989996552467346,404.521059560151,602.9032387906344,0.9999028444290161
48,452.67396640262206,329.56277511783384,0.9993693232536316,674.332090303489,491.6311167911384,0.9970859885215759,260.50826850058627,648.8178973610231,0.998996913433075,411.8771680352755,605.0226822683064,0.9998213648796082
49,454.65479490524757,328.9477974215153,0.9999539852142334,672.9164644459485,490.83648824005957,0.9950816631317139,250.58034111963454,669.3001071137309,0.9841440916061401,418.4218761685079,602.9177668424417,0.9997237324714661
50,462.82995560184156,324.7327930708655,0.999836802482605,669.433609598388,489.1274229560116,0.9954959154129028,251.16185224853123,699.5209862578536,0.9905750155448914,420.3961705244592,604.5134554752702,0.9999669790267944
51,458.21359060601884,323.4738623828622,0.9998053908348083,665.2681999570742,494.3396858599752,0.9811347723007202,251.21896557677584,724.3705502136722,0.9884976148605347,419.52967764581206,607.6961193986363,0.9998748302459717
52,451.2198137643464,335.06667418808036,0.9996058344841003,660.9614327888372,511.2633649287366,0.9540637135505676,245.471338472348,763.7830974315106,0.9924989342689514,418.0903803786232,623.8006867711449,0.9998562335968018
53,444.96600199002364,359.12293344680734,0.9996117949485779,656.8246929108051,531.6280816387816,0.9873381853103638,245.34488461879906,782.6733838430711,0.9490790367126465,413.6629386742963,638.0239448317284,0.9999662637710571
54,437.4064473937469,386.73069192208675,0.9998916387557983,649.7767984823911,554.5668415772004,0.9929457306861877,244.09200789163697,767.6508217007134,0.07275094091892242,404.21674825657016,653.9672651279692,0.9997738003730774
55,427.75639550939104,414.0625886008824,0.9998950958251953,639.8283054875507,575.4319547536087,0.050198912620544434,239.33211385649048,796.6025315224117,0.047127626836299896,394.02672158829347,673.4677185921892,0.9998213648796082
56,420.60824939417677,440.42609251826104,0.9999114274978638,627.5220813983706,601.1643782656216,0.016666900366544724,236.8798337115557,793.6921768730526,0.006456995382905006,387.6521890123048,690.8374005999034,0.9992319345474243
57,410.39262121494363,466.9951198307068,0.999915599822998,439.00960477432153,738.4964534757341,0.4545428454875946,290.5493061169925,727.9468693724427,0.005075159016996622,382.0885548773424,714.0539726817915,0.9987834095954895
58,401.0097259686874,494.84500069096305,0.9996836185455322,502.91427979571296,662.9511354915937,0.8249613642692566,320.35322254087316,575.328451046397,0.010829664766788483,371.5250467439615,735.6429083665339,0.9980626702308655
59,389.0522292271224,526.7433159235064,0.9844580292701721,533.3340042531654,663.6229476966604,0.944969654083252,343.4792600230553,610.0575990149628,0.00805195327848196,357.2475052001493,764.3405112086036,0.9941421151161194
60,373.85255560725244,561.967589820803,0.9966009855270386,547.8822049657516,696.3144855713367,0.9992396831512451,360.00209450302987,633.9357783579271,0.019468087702989578,343.9450619473593,790.876223131573,0.9944816827774048
61,346.4712010700732,600.2892866075229,0.9999761581420898,539.3268743033481,732.7461464149376,0.99956876039505,292.82980146514376,775.0289888846164,0.08965291827917099,328.7090271373512,818.1737930572214,0.4358498156070709
62,327.4216852517251,630.0566952009407,0.9999282360076904,532.3185648977691,746.9278112404536,0.9998927116394043,282.49584537351,780.9427323399669,0.05124461278319359,311.58894420943847,828.2923771863436,0.9955096244812012
63,324.4225375397354,631.711521260936,0.9999253749847412,528.1771581959719,736.679605830864,0.9999402761459351,250.81736807997723,770.7407064834334,0.9529172778129578,297.1236256796366,837.54646118907,0.9995637536048889
64,329.26105051784464,609.9350075247905,0.9999309778213501,536.9293372379478,723.2566708124085,0.9997846484184265,243.0111923182511,823.929049377913,0.9944316744804382,295.091545613981,825.0366914394829,0.9994425177574158
65,333.5263205372361,583.7360327771199,0.9999498128890991,551.6779324507954,711.9801943707739,0.9997097849845886,247.05116403334992,855.0018414202268,0.9960365891456604,308.0456565960102,823.8210167571023,0.999933123588562
66,310.66712761615753,570.5221093994685,0.9997300505638123,555.0687855694465,716.3431208488072,0.999291181564331,232.0413610120919,915.8957745652698,0.999514102935791,317.5026204467241,822.105494257741,0.9998189806938171
67,295.65932860689696,573.0115339050645,0.9998632669448853,541.3369756973311,714.9125026260449,0.999427080154419,201.948704469554,929.1475342407771,0.9889296889305115,306.86803050293287,828.879586559238,0.9998751878738403
68,281.79442137341255,580.7744300004043,0.7525832056999207,529.9001136264361,720.3232656736355,0.9999620914459229,158.67425234743604,948.0277269872173,0.13030493259429932,283.1155370535459,830.0429078419664,0.999806821346283
